控制感,精确性,品牌信任,PC1,PC2,PC3,PM1,PM2,PM3,PM4,BR1,BR2,BR3,BR4,PR1,PR2,PR3,PR4,PI1,PI2,PI3,PI4,PL1,PL2,PL3,age,gender,MPC,MPM,MBR,MPR,MPI,MPL
0,1,0,3,2,5,5,5,5,5,4,3,3,3,5,6,6,6,3,5,3,3,3,3,3,2,2,3.33333333333333,5,3.25,5.75,3.5,3
0,1,0,5,5,5,3,6,3,6,2,2,2,1,2,5,4,3,2,2,2,2,1,1,1,2,1,5,4.5,1.75,3.5,2,1
0,1,0,5,5,6,5,4,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,3,2,2,1,5.33333333333333,3.75,3,2.75,2,2.33333333333333
0,1,0,5,3,5,5,6,6,5,3,6,3,3,6,3,3,6,5,5,5,3,5,5,4,2,2,4.33333333333333,5.5,3.75,4.5,4.5,4.66666666666667
0,1,0,5,2,2,5,5,5,5,1,2,2,2,5,5,4,5,2,2,2,2,2,2,2,2,2,3,5,1.75,4.75,2,2
0,1,0,1,1,1,3,3,3,3,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,1,3,1.25,1.75,1,1
0,1,0,3,2,1,2,3,3,1,1,2,2,3,2,3,3,4,4,3,4,2,3,1,2,4,2,2,2.25,2,3,3.25,2
0,1,0,7,5,7,7,4,5,4,7,4,4,7,7,4,5,7,6,5,7,5,6,7,4,2,2,6.33333333333333,5,5.5,5.75,5.75,5.66666666666667
0,1,0,2,2,1,4,1,4,1,4,2,3,2,2,3,3,2,3,3,1,2,3,2,2,1,2,1.66666666666667,2.5,2.75,2.5,2.25,2.33333333333333
0,1,0,2,2,3,3,3,4,2,2,2,2,4,1,4,1,3,2,2,3,4,2,3,4,4,1,2.33333333333333,3,2.5,2.25,2.75,3
0,1,0,4,1,3,1,2,4,2,4,3,1,1,3,2,3,2,2,3,1,4,2,2,2,2,1,2.66666666666667,2.25,2.25,2.5,2.5,2
0,1,0,3,2,2,4,4,4,2,3,4,2,2,2,3,2,3,2,2,1,3,3,3,2,2,1,2.33333333333333,3.5,2.75,2.5,2,2.66666666666667
0,1,0,6,5,4,7,6,4,7,5,7,7,4,5,7,7,7,4,7,5,4,4,4,5,2,1,5,6,5.75,6.5,5,4.33333333333333
0,1,0,4,2,2,4,3,2,2,4,2,1,3,2,3,1,3,4,3,2,2,2,2,3,4,2,2.66666666666667,2.75,2.5,2.25,2.75,2.33333333333333
0,1,0,7,5,5,4,7,4,4,4,7,6,7,6,5,4,7,7,7,5,7,4,4,7,3,1,5.66666666666667,4.75,6,5.5,6.5,5
